Facility Name,UNLOCODE,Facility SMDG Code,Facility BIC Code
SEA FISHING PORT TERMINAL,RULED,SFP,
NUTEP CONTAINER TERMINAL,RUNVS,NUTEP,
UST-LUGA CONTAINER TERMINAL (ULCT),RUULU,ULCT,
PACIFIC LOGISTIC CONTAINER TERMINAL,RUVVO,PLCT,
VLADIVOSTOK CONTAINER TERMINAL (VCT),RUVVO,VCT,
VLADIVOSTOK SEA CONTAINER TERMINAL (VSCT),RUVVO,VSCT,
VOSTOCHNAYA STEVEDORING COMPANY (VSC),RUVYP,VSC,
DAMMAM FIRST CONTAINER TERMINAL (FCT),SADMM,FCT,
DAMMAM SECOND CONTAINER TERMINAL (SCT),SADMM,SCT,
DP WORLD SOUTH CONTAINER TERMINAL JEDDAH (SCT),SAJED,DPW,
NORTHERN CONTAINER TERMINAL JEDDAH,SAJED,GCT,
RED SEA GATEWAY TERMINAL,SAJED,RSGT,
JUBAIL COMMERCIAL PORT,SAJUB,GSC,
KING ABDULLAH NATIONAL CONTAINER TERMINAL (NCT),SAKAC,KACT,
SOUTH PORT CONTAINER TERMINAL,SDPZU,SPC,
AHUS CONTAINER TERMINAL,SEAHU,AHU,
APM TERMINALS GOTHENBURG,SEGOT,CT1,
CAR TERMINAL GOTHENBURG,SEGOT,CAR,
RORO TERMINAL GOTHENBURG,SEGOT,RTG,
YILPORT CONTAINER TERMINAL GAVLE,SEGVX,GVXFS,
YILPORT TERMINAL GRANUDDEN,SEGVX,GVXGU,
KATTEGAT TERMINAL HALMSTAD,SEHAD,KTH,
SKANE TERMINAL,SEHEL,SKT,
WEST HARBOUR,SEHEL,VESTHA,
RORO TERMINAL KAPELLSKAR,SEKPS,RTK,
CMP CONTAINER TERMINAL MALMO,SEMMA,CMPSE,
PAMPUS CONTAINER TERMINAL,SENRK,SEPCT,
RORO TERMINAL NYNASHAMN,SENYN,RTN,
CONTAINER TERMINAL FRIHAMNEN,SESTO,CTS,
CONTAINER TERMINAL STOCKHOLM-NORVIK,SESTO,NCS,
RORO TERMINAL FRIHAMNEN,SESTO,RTF,
RORO TERMINAL SILJA (VARTAHAMNEN),SESTO,RTS,
RORO TERMINAL STOCKHOLM-NORVIK,SESTO,NRS,
RORO TERMINAL VIKING (STADSGARDEN),SESTO,RTV,
VASTERAS CONTAINER TERMINAL,SEVST,VSTCT,
BRANI TERMINAL,SGSIN,PSABT,
KEPPEL TERMINAL,SGSIN,PSAKT,
PASIR PANJANG TERMINAL 1,SGSIN,PSAPP1,
PASIR PANJANG TERMINAL 2,SGSIN,PSAPP2,
PASIR PANJANG TERMINAL 3,SGSIN,PSAPP3,
PASIR PANJANG TERMINAL 4,SGSIN,PSAPP4,
PASIR PANJANG TERMINAL 5,SGSIN,PSAPP5,
PASIR PANJANG TERMINAL 6,SGSIN,PSAPP6,
SEMBAWANG WHARVES,SGSIN,PSASW,
TANJONG PAGAR TERMINAL I,SGSIN,PSATPT,
PORT OF KOPER,SIKOP,LUKA,
PORT AUTONOME DE DAKAR,SNDKR,DPWSN,
PARAMARIBO NIEUWE HAVEN,SRPBM,PBM01,
PUERTO ACAJUTLA,SVAQJ,PUACA,
PUERTO LA UNION,SVLUN,PULUN,
LATTAKIA INTERNATIONAL CONTAINER TERMINAL (LICT),SYLTK,LICT,
TARTOUS INTERNATIONAL CONTAINER TERMINAL,SYTTS,TICT,
"BANGKOK PORT, KHLONG TOEI (PAT)",THBKK,PAT,
"EASTERN SEA LAEM CHABANG TERMINAL (ESCO), B3",THLCH,ESCO,
"EVERGREEN CONTAINER TERMINAL, B2",THLCH,LCHB2,
HUTCHISON LAEM CHABANG TERMINAL A3,THLCH,HLTA3,
HUTCHISON LAEM CHABANG TERMINAL C1/C2,THLCH,HLTC12,
HUTCHISON LAEM CHABANG TERMINAL D,THLCH,HLTD,
KERRY SIAM SEAPORT,THLCH,KSP,
"LAEM CHABANG INTERNATIONAL TERMINAL (LCIT), B5/C3",THLCH,LCIT,
"LAEM CHABANG MARINE TERMINAL (LCMT), A0",THLCH,LCHA0,
"LCB CONTAINER TERMINAL 1 (LCB1), B1",THLCH,LCHB1,
THAI LAEM CHABANG TERMINAL (TLT) A2,THLCH,TLTA2,
"TIPS CONTAINER TERMINAL, B4",THLCH,TIPS4,
SAHATHAI TERMINAL,THSCS,SHT,
RADES PORT,TNTUN,RAPO,
NEMPORT TERMINAL,TRALI,NEMPOR,
SOCAR ALIAGA TERMINAL,TRALI,APMALI,
TCEEGE CONTAINER TERMINAL,TRALI,TCEEG,
YILPORT CONTAINER TERMINAL GEBZE,TRGEB,YGCT,
BORUSAN PORT GEMLIK,TRGEM,BORU,
RODA PORT GEMLIK,TRGEM,RODA,
YILPORT TERMINAL GEMLIK (GEMPORT),TRGEM,GEMPOR,
LIMAKPORT ISKENDERUN,TRISK,LIMAK,
KUMPORT TERMINAL,TRIST,KUMLI,
"MARDAS TERMINAL, AMBARLI PORT",TRIST,MRD,
MARPORT TERMINAL,TRIST,MRP,
TCDD ALSANCAK,TRIZM,TCDD,
EVYAPPORT,TRIZT,EVYAP,
IC KARASU PORT,TRKSP,ICKSP,
MERSIN INTERNATIONAL PORT (MIP),TRMER,MIP,
DP WORLD YARIMCA,TRYAR,DPWYAR,
PORT OF PORT OF SPAIN,TTPOS,PPOS,
PORT OF POINT LISAS,TTPTS,TPTS,
CCTC KEELUNG CONTAINER TERMINAL,TWKEL,WUDU,
ULIC EASTERN PORT TERMINAL,TWKEL,ULIC,
APL TERMINAL (W68-69),TWKHH,APLKT,
EVERGREEN TERMINAL KCC4 (W115-W117),TWKHH,EMCKC4,
EVERGREEN TERMINAL KCC5 (W79-W81),TWKHH,EMCKC5,
HMM PACIFIC TERMINAL (W76-W78),TWKHH,HJPCT,
HMM TERMINAL (W118-W119),TWKHH,HMMT,
KAO MING TERMINAL (W108-W111),TWKHH,KMCT,
LIEN HAI TERMINAL (W42-W43),TWKHH,KHHPT,
OOCL TERMINAL (W65-W67),TWKHH,KAOCT,
WAN HAI TERMINAL (W63-W64),TWKHH,WHLT,
YANG MING TERMINAL (W70),TWKHH,YMLT,
TANZANIA INTERNATIONAL CONTAINER TERMINAL SERVICES,TZDAR,TICTS,
BROOKLYN-KIEV PORT (BKP),UAODS,BROOKL,
CONTAINER TERMINAL ODESSA (CTO),UAODS,CTO,
TIS CONTAINER TERMINAL,UAYUZ,TISCT,
DUNDALK MARINE TERMINAL,USBAL,DMT,
SEAGIRT MARINE TERMINAL,USBAL,SMT,
HUGH K. LEATHERMAN TERMINAL (HLT),USCHS,HLT,
NORTH CHARLESTON MARINE TERMINAL,USCHS,NCMT,
WANDO WELCH MARINE TERMINAL,USCHS,WWMT,
"HONOLULU TERMINAL, PIER 1",USHNL,HSP1,
"HONOLULU TERMINAL, PIER 51",USHNL,PASHA,
MATSON TERMINAL,USHNL,MATS,
BARBOURS CUT MARINE TERMINAL,USHOU,BCMT,
BAYPORT TERMINAL,USHOU,BPTM,
JACINTOPORT,USHOU,JPI,
PORT OF WILMINGTON TERMINAL,USILM,NCSPA,
BLOUNT ISLAND MARINE TERMINAL,USJAX,BLOJX,
"DAMES POINT MARINE TERMINAL, BERTHS 16-17",USJAX,TRAJX,
TALLEYRAND MARINE TERMINAL,USJAX,TMT,
APM TERMINALS LOS ANGELES PIER 400,USLAX,APMT,
EVERPORT CONTAINER TERMINAL (ETS),USLAX,ETS,
FENIX MARINE CONTAINER TERMINAL (FMS),USLAX,EAGLE,
TRAPAC CONTAINER TERMINAL,USLAX,TRAP,
WEST BASIN CONTAINER TERMINAL (WBCT),USLAX,WBCT,
YUSEN CONTAINER TERMINAL (YTI),USLAX,YUSEN,
ITS LONG BEACH (PIER G),USLGB,ITS,
LONG BEACH CONTAINER TERMINAL (PIER E),USLGB,LBCT,
PACIFIC CONTAINER TERMINAL LONG BEACH (PIER J),USLGB,SSAPCT,
SSA TERMINAL A,USLGB,SSATA,
SSA TERMINAL C (MATSON),USLGB,MATU,
TOTAL TERMINALS INTERNATIONAL (PIER T),USLGB,TTI,
PORT OF MIAMI TERMINAL (POMTOC),USMIA,POM,
SEABOARD MARINE TERMINAL,USMIA,SML,
SOUTH FLORIDA CONTAINER TERMINAL (SFCT),USMIA,SOU,
APM TERMINALS MOBILE,USMOB,APMT,
NAPOLEON AVENUE CONTAINER TERMINAL,USMSY,NOLA,
PORT HUENEME,USNTD,HUE,
APM TERMINALS ELIZABETH,USNYC,APMT,
GCT BAYONNE,USNYC,GTC,
GCT NEW YORK,USNYC,NYCT,
MAHER CONTAINER TERMINAL,USNYC,MAHER,
PORT NEWARK CONTAINER TERMINAL,USNYC,PNCT,
RED HOOK CONTAINER TERMINAL,USNYC,RHCT,
BEN E. NUTTER TERMINAL,USOAK,BENT,
MATSON TERMINAL,USOAK,MATS,
OAKLAND INTERNATIONAL CONTAINER TERMINAL (OICT),USOAK,B58,
TRAPAC CONTAINER TERMINAL,USOAK,TPOAK,
NORFOLK INTERNATIONAL TERMINALS (NIT),USORF,NIT,
PORTLAND TERMINAL 6,USPDX,PT6,
FLORIDA INTERNATIONAL TERMINAL,USPEF,FIT,
PORT EVERGLADES TERMINAL,USPEF,PET,
PACKER AVENUE MARINE TERMINAL,USPHL,PAMT,
PSA PENN TERMINALS,USPHL,PSAP,
PORTSMOUTH MARINE TERMINAL (PMT),USPTM,PMT,
VIRGINIA INTERNATIONAL GATEWAY (VIG),USPTM,VIG,
GARDEN CITY MARINE TERMINAL,USSAV,GCMT,
OCEAN TERMINAL SAVANNAH,USSAV,OCT,
SSA TERMINAL T18,USSEA,SSA18,
SSA TERMINAL T30,USSEA,SSA30,
HUSKY TERMINAL,USTIW,HUSKY,
PIERCE COUNTY TERMINAL (PCT),USTIW,PCT,
WASHINGTON UNITED TERMINALS (WUT),USTIW,WUT,
MONTECON,UYMVD,MONTE,
TERMINAL CUENCA DEL PLATA,UYMVD,TCDP,
TERMINAL PORTUARIA PUNTA PEREIRA (TPPP),UYPTP,MDP,
PUERTO DE GUANTA,VEGUT,GUTGU,
TERMINAL ESPECIALIZADA DE CONTENEDORES (TEC),VELAG,TECLG,
BOLIPUERTOS PUERTO CABELLO,VEPBL,BOPBL,
CHUA VE PORT,VNHPH,CVP,
DINH VU PORT,VNHPH,DINHVU,
DOAN XA PORT,VNHPH,DOANXA,
GREENPORT,VNHPH,GREEN,
HAI AN PORT,VNHPH,HAIAN,
HAIPHONG INTERNATIONAL CONTAINER TERMINAL (HICT),VNHPH,VNCHL,
HAIPHONG NEW PORT 128,VNHPH,NP128,
HOANG DIEU PORT (MAIN PORT),VNHPH,MAIN,
NAM HAI DINH VU PORT,VNHPH,NHDV,
NAM HAI PORT,VNHPH,NAMHAI,
TAN VU PORT,VNHPH,TANVU,
SOUTH VAN PHONG INTERNATIONAL PORT,VNNIH,SVP,
CAT LAI TERMINAL,VNSGN,CATLAI,
SAIGON PREMIER CONTAINER TERMINAL (SPCT),VNSGN,SPCT,
CAI MEP INTERNATIONAL TERMINAL (CMIT),VNVUT,CMIT,
SP-SSA INTERNATIONAL TERMINAL (SSIT),VNVUT,VNSST,
TAN CANG - CAI MEP INTERNATIONAL TERMINAL (TCIT),VNVUT,TCIT,
PORT OF APIA,WSAPW,POA,
MULTI PURPOSE TERMINAL (MPT),ZACPT,TNCM,
TRANSNET PORT TERMINALS CAPE TOWN,ZACPT,TNCT,
DURBAN RORO TERMINAL,ZADUR,TNDRT,
GRINDROD MAYDON WHARF TERMINALS,ZADUR,GMWT,
TRANSNET PORT TERMINALS DURBAN PIER 1,ZADUR,TNP1,
TRANSNET PORT TERMINALS DURBAN PIER 2,ZADUR,TNP2,
TRANSNET PORT TERMINALS NGQURA,ZANGQ,TNNQ,
TRANSNET PORT TERMINALS PORT ELIZABETH,ZAPLZ,TNPE,
