Path,Attribute,Type,Required,Size,Pattern,Example,Description
"DGDeclaration / containerPackingCertificate / declarationPlace / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street."
"DGDeclaration / containerPackingCertificate / signatory",signatory,string,,maxLength=100,,"JOHN LOADER","Upper case name of the person authorized to sign the certificate.

According to IMDG Code 5.4.2.3: ""If the container/vehicle packing certificate is presented to the carrier by means of EDP or EDI transmission techniques, the signature(s) may be electronic signature(s) or may be replaced by the name(s) (in capitals) of the person authorized to sign."""
"DGDeclaration / declarationDateTime",declarationDateTime,"string(date-time)",,maxLength=30,,2025-01-23T01:23:45Z,"The date and time when the DG declaration was issued"
"DGDeclaration / declarationReference",declarationReference,string,,maxLength=500,,"DGD-HHL71800000-APZU4812090-2025-01-23T01:23:45Z","Reference of the DG declaration"
"DGDeclaration / documentParties",documentParties,"DocumentParty list",,,,,"Document parties.

Note that while parties can generally appear in any order, including `N1` (First Notify Party)
and `N2` (Second Notify Party), the order of parties of type `NI` (Other Notify Party) is relevant,
as it determines which of these parties is considered the third, fourth, fifth (and so on) notify party."
"DGDeclaration / documentParties / address",address,Address,,,,,"Party address"
"DGDeclaration / documentParties / address / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.
Item description:
One line of an unstructured `Address`."
"DGDeclaration / documentParties / address / city",city,string,,maxLength=35,,Amsterdam,"The name of the city."
"DGDeclaration / documentParties / address / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)"
"DGDeclaration / documentParties / address / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number."
"DGDeclaration / documentParties / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered."
"DGDeclaration / documentParties / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address."
"DGDeclaration / documentParties / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region."
"DGDeclaration / documentParties / address / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street."
"DGDeclaration / documentParties / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street."
"DGDeclaration / documentParties / identifyingCodes",identifyingCodes,"IdentifyingCode list",,,,,"List of codes identifying the party"
"DGDeclaration / documentParties / identifyingCodes / codeListName",codeListName,string,,maxLength=100,,DID,"The name of the code list, code generation mechanism or code authority for the `partyCode`. Example values could be:
- `DID` (Decentralized Identifier) for `codeListProvider` `W3C`
- `LEI` (Legal Entity Identifier) for `codeListProvider` `GLEIF`
- `DUNS` (Data Universal Numbering System) for `codeListProvider` `DNB`"
"DGDeclaration / documentParties / identifyingCodes / codeListProvider",codeListProvider,string,,maxLength=5,,W3C,"A list of codes identifying a party. Possible values are:
- `WAVE` (Wave)
- `CARX` (CargoX)
- `IDT` (ICE Digital Trade)
- `BOLE` (Bolero)
- `IQAX` (IQAX)
- `SECR` (Secro)
- `TRGO` (TradeGO)
- `ETEU` (eTEU)
- `TRAC` (Enigio trace:original)
- `BRIT` (BRITC eBL)
- `COVA` (Covantis)
- `ETIT` (e-title)
- `KTNE` (KTNET)
- `CRED` (Credore)
- `BLOC` (BlockPeer Technologies)
- `GSBN` (Global Shipping Business Network)
- `WISE` (WiseTech)
- `GLEIF` (Global Legal Entity Identifier Foundation)
- `W3C` (World Wide Web Consortium)
- `DNB` (Dun and Bradstreet)
- `FMC` (Federal Maritime Commission)
- `DCSA` (Digital Container Shipping Association)
- `ZZZ` (Mutually defined)"
"DGDeclaration / documentParties / identifyingCodes / partyCode",partyCode,string,,maxLength=100,,MSK,"Code to identify the party as provided by the code list provider"
"DGDeclaration / documentParties / partyContactDetails",partyContactDetails,"PartyContactDetail list",,,,,"Party contact details"
"DGDeclaration / documentParties / partyContactDetails / email",email,string,,maxLength=100,,jane.doe@example.com,"Contact email address"
"DGDeclaration / documentParties / partyContactDetails / name",name,string,,maxLength=100,,"Jane Doe","Contact name"
"DGDeclaration / documentParties / partyContactDetails / phone",phone,string,,maxLength=30,,"+14155552671","Contact phone number, including an international phone number format
as defined in the [ITU-T recommendation E.123](https://www.itu.int/rec/T-REC-E.123/en)."
"DGDeclaration / documentParties / partyFunction",partyFunction,string,,maxLength=3,,N1,"Specifies the role of the party in a given context. Possible values are:

- `OS` (Shipper)
- `CN` (Consignee)
- `END` (Endorsee)
- `RW` (Issuing Party)
- `CG` (Carrier's Agent at Destination)
- `N1` (First Notify Party)
- `N2` (Second Notify Party)
- `NI` (Other Notify Party)
- `SCO` (Service Contract Owner)
- `DDR` (Consignor's freight forwarder)
- `DDS` (Consignee's freight forwarder)
- `COW` (Invoice payer on behalf of the consignor (shipper))
- `COX` (Invoice payer on behalf of the consignee)
- `CS` (Consolidator)
- `MF` (Manufacturer)
- `WH` (Warehouse Keeper)"
"DGDeclaration / documentParties / partyName",partyName,string,,maxLength=100,,"Acme Inc.","Party name"
"DGDeclaration / documentParties / reference",reference,string,,maxLength=100,,REF1234,"A reference linked to the document party."
"DGDeclaration / documentParties / taxLegalReferences",taxLegalReferences,"TaxLegalReference list",,,,,"List of tax or legal references relevant to the party"
"DGDeclaration / documentParties / taxLegalReferences / countryCode",countryCode,string,,maxLength=2,,IN,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)"
"DGDeclaration / documentParties / taxLegalReferences / type",type,string,,maxLength=50,,PAN,"The reference type code as defined by the relevant tax and/or legal authority."
"DGDeclaration / documentParties / taxLegalReferences / value",value,string,,maxLength=100,,AAAAA0000A,"The value of the `taxLegalReference`"
"DGDeclaration / haulageAcceptance",haulageAcceptance,HaulageAcceptance,,,,,"Identifies the road transport company and driver responsible for moving the container to or from the port, and records their acceptance of the dangerous goods consignment"
"DGDeclaration / haulageAcceptance / driverSignatory",driverSignatory,string,,maxLength=100,,"BOB DRIVER","Upper case name of the driver operating the vehicle"
"DGDeclaration / haulageAcceptance / haulierAcceptanceDate",haulierAcceptanceDate,"string(date)",,,,2025-01-23,"Date when the hauliers acceptence was signed."
"DGDeclaration / haulageAcceptance / haulierName",haulierName,string,,maxLength=100,,"Fast Road Haulage BV","Name of the road transport company contracted to move the container/vehicle to or from the port/terminal."
"DGDeclaration / haulageAcceptance / haulierSignatory",haulierSignatory,string,,maxLength=100,,"PETER JANSEN","Upper case name of the haulier's representative"
"DGDeclaration / haulageAcceptance / vehicleRegistrationNumber","vehicleRegistrationNumber",string,,maxLength=20,,AB-123-CD,"License plate of the truck or vehicle used for the road leg of transport."
"DGDeclaration / receivingOrganisationReceipt","receivingOrganisationReceipt","ReceivingOrganisationReceipt",,,,,"""Received the above number of packages/containers/trailers in apparent good order and condition, unless stated on the remarks"""
"DGDeclaration / receivingOrganisationReceipt / receiptDate",receiptDate,"string(date)",,,,2025-01-23,"The date on which the receiving organisation physically accepted the consignment."
"DGDeclaration / receivingOrganisationReceipt / receivedInGoodCondition",receivedInGoodCondition,boolean,,,,,"Indicates whether the packages, containers, or trailers were received in apparent good order and condition at the time of handover. A value of false implies that damages, discrepancies, or irregularities were observed and should be detailed in the remarks field."
"DGDeclaration / receivingOrganisationReceipt / receivingOrganisationName","receivingOrganisationName",string,,maxLength=100,,"ECT Delta Terminal B.V.","Name of the organisation receiving the cargo."
"DGDeclaration / receivingOrganisationReceipt / remarks",remarks,string,,maxLength=500,,"No visible damage","Free-text field for the receiving organisation to record any observations at the time of receipt."
"DGDeclaration / shipmentDetails",shipmentDetails,ShipmentDetails,,,,,"DG declaration details specific to the shipment"
"DGDeclaration / shipmentDetails / carrierBookingReference",carrierBookingReference,string,,maxLength=35,,ABC709951,"The reference of the booking for which this DG declaration was created"
"DGDeclaration / shipmentDetails / freightForwarderReference","freightForwarderReference",string,,maxLength=100,,FF-20260401-003,"The reference number assigned by the freight forwarder handling the shipment on behalf of the shipper."
"DGDeclaration / shipmentDetails / shipperReference",shipperReference,string,,maxLength=100,,SHP-2026-NL-8821,"The shipper's own internal reference number for cross-referencing with their systems."
"DGDeclaration / shipmentDetails / transportDocumentReference","transportDocumentReference",string,,maxLength=20,,HHL71800000,"The reference of the transport document for which this DG declaration was created"
"DGDeclaration / shipperDeclaration",shipperDeclaration,ShipperDeclaration,,,,,"""I hereby declare that the contents of this consignment are fully and accurately described below by the proper shipping name, and are classified, packaged, marked and labelled/placarded and are in all respects in proper condition for transport according to the applicable international and national governmental regulations."""
"DGDeclaration / shipperDeclaration / companyName",companyName,string,,maxLength=100,,"ABC Chemicals Ltd","Name of the shipper/consignor company making the dangerous goods declaration."
"DGDeclaration / shipperDeclaration / declarantName",declarantName,string,,maxLength=100,,"Jane Smith","Name of the person signing on behalf of the shipper."
"DGDeclaration / shipperDeclaration / declarantStatus",declarantStatus,string,,maxLength=100,,"Dangerous Goods Manager","Role/status of the shipper's authorized signatory."
"DGDeclaration / shipperDeclaration / declarationDate",declarationDate,"string(date)",,,,2025-01-23,"Date when the shipper declaration was signed."
"DGDeclaration / shipperDeclaration / declarationPlace",declarationPlace,Address,,,,,"Place where the shipper declaration was made."
"DGDeclaration / shipperDeclaration / declarationPlace / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.
Item description:
One line of an unstructured `Address`."
"DGDeclaration / shipperDeclaration / declarationPlace / city",city,string,,maxLength=35,,Amsterdam,"The name of the city."
"DGDeclaration / shipperDeclaration / declarationPlace / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)"
"DGDeclaration / shipperDeclaration / declarationPlace / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number."
"DGDeclaration / shipperDeclaration / declarationPlace / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered."
"DGDeclaration / shipperDeclaration / declarationPlace / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address."
"DGDeclaration / shipperDeclaration / declarationPlace / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region."
"DGDeclaration / shipperDeclaration / declarationPlace / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street."
"DGDeclaration / shipperDeclaration / declarationPlace / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street."
"DGDeclaration / shipperDeclaration / signatory",signatory,string,,maxLength=100,,"JANE SMITH","Upper case name of the person authorized to sign the declaration.

According to IMDG Code 5.4.1.6.2: ""If the dangerous goods documentation is presented to the carrier by means of EDP or EDI transmission techniques, the signature(s) may be electronic signature(s) or may be replaced by the name(s) (in capitals) of the person authorized to sign."""
"DGDeclaration / typeLabel",typeLabel,string,,maxLength=100,,French,"Free-format identifier used to specify a certain type of DG Declaration, for example ""English"" or ""French""."
"DGDeclaration / utilizedTransportEquipments","utilizedTransportEquipments","UtilizedTransportEquipment list",,,,,"The equipments being used."
"DGDeclaration / utilizedTransportEquipments / equipment",equipment,Equipment,,,,,"The container or transport equipment used."
"DGDeclaration / utilizedTransportEquipments / equipment / equipmentReference",equipmentReference,string,,maxLength=11,,APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible. According to ISO 6346, a container identification code consists of a 4-letter prefix and a 7-digit number (composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with ISO 6346, it is suggested to follow Recommendation #2: Containers with non-ISO identification from SMDG."
"DGDeclaration / utilizedTransportEquipments / equipment / ISOEquipmentCode",ISOEquipmentCode,string,,maxLength=4,,22GP,"Unique code for the different equipment size and type used to transport commodities. The code can refer to one of ISO size type (e.g. 22G1) or ISO type group (e.g. 22GP) following the ISO 6346 standard."
"DGDeclaration / utilizedTransportEquipments / equipment / tareWeight",tareWeight,Weight,,,,,"The tare weight of the container"
"DGDeclaration / utilizedTransportEquipments / equipment / tareWeight / unit",unit,string,,maxLength=10,,KGM,"Measurement unit in which the weight `value` is expressed:
- `KGM` (Kilograms)
- `LBR` (Pounds)
- `GRM` (Grams)
- `ONZ` (Ounce)"
"DGDeclaration / utilizedTransportEquipments / equipment / tareWeight / value",value,"number(float)",,,,2.4,"Weight value expressed in the measurement `unit`"
"DGDeclaration / utilizedTransportEquipments / references",references,"Reference list",,,,,"Reference used by the customer or carrier to identify or track the shipment."
"DGDeclaration / utilizedTransportEquipments / references / type",type,string,,maxLength=3,,CR,"The reference type codes defined by DCSA. Possible values are:
- `CA` (Carrier's Reference)
- `CR` (Customer's Reference)
- `AKG` (Vehicle Identification Number)
- `CPR` (Canadian Pacific Railway System)
- `CNR` (Canadian National Railway Unit)
- `VBN` (V-Bond Number)"
"DGDeclaration / utilizedTransportEquipments / references / value",value,string,,maxLength=100,,HHL00103004,"The value of the reference."
"DGDeclaration / utilizedTransportEquipments / seals",seals,"Seal list",,,,,"Seal-related information associated with the equipment."
"DGDeclaration / utilizedTransportEquipments / seals / number",number,string,,maxLength=15,,VET123,"Identifies a seal affixed to the container."
"DGDeclaration / utilizedTransportEquipments / seals / placement",placement,string,,maxLength=100,,DOOR,"The placement of a seal.
- `DOOR` - Door
- `VENT` - Vent"
"DGDeclaration / utilizedTransportEquipments / seals / source",source,string,,maxLength=100,,CUSTOMER,"The source of a seal, indicating who has affixed the seal.

Both `VETERINARY` and `PHYTOSANITARY` map to `AC` (Quarantine agency) in [UN/EDIFACT 16A 9303](https://unece.org/fileadmin/DAM/trade/untdid/d16a/tred/tred9303.htm).

- `CARRIER` - Carrier
- `CONSOLIDATOR` - Consolidator
- `CUSTOMER` - Customer
- `CUSTOMS` - Customs
- `PHYTOSANITARY` - Phytosanitary
- `SHIPPER` - Shipper
- `TERMINAL` - Terminal
- `VETERINARY` - Veterinary"
"DGDeclaration / utilizedTransportEquipments / seals / type",type,string,,maxLength=100,,BOLT,"The type of a seal.
- `KEYLESS_PADLOCK` - Keyless padlock
- `BOLT` - Bolt
- `WIRE` - Wire"
"DGDeclaration / utilizedTransportEquipments / shippingMarks",shippingMarks,"string list",,,,,"A list of the `ShippingMarks` applicable to this `UtilizedTransportEquipment`
Item description:
A list of the `ShippingMarks` applicable to this `UtilizedTransportEquipment`
"
"DGDeclaration / vesselVoyageDetails",vesselVoyageDetails,VesselVoyageDetails,,,,,"DG declaration details specific to the vessel voyage"
"DGDeclaration / vesselVoyageDetails / carrierCode",carrierCode,string,,maxLength=4,,MMCU,"The `SCAC` code (provided by [NMFTA](https://nmfta.org/scac/)) or `SMDG` code (provided by
[SMDG](https://smdg.org/documents/smdg-code-lists/smdg-liner-code-list/)) of the carrier.

The `carrierCodeListProvider` specifies the provider of the list in which the `carrierCode` is defined."
"DGDeclaration / vesselVoyageDetails / carrierCodeListProvider",carrierCodeListProvider,string,,maxLength=10,,NMFTA,"The code list provider for the `carrierCode`. Possible values are:
- `SMDG` (Ship Message Design Group)
- `NMFTA` (National Motor Freight Traffic Association)"
"DGDeclaration / vesselVoyageDetails / departureDate",departureDate,"string(date)",,,,2025-01-23,"The date of departure from the location where the cargo is handed over by the shipper, or his agent,
to the shipping line. This can refer either to the Place of Receipt or the Port of Loading."
"DGDeclaration / vesselVoyageDetails / destination",destination,Location,,,,,"The final delivery destination of the goods"
"DGDeclaration / vesselVoyageDetails / destination / address",address,Address,,,,,"Location address"
"DGDeclaration / vesselVoyageDetails / destination / address / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.
Item description:
One line of an unstructured `Address`."
"DGDeclaration / vesselVoyageDetails / destination / address / city",city,string,,maxLength=35,,Amsterdam,"The name of the city."
"DGDeclaration / vesselVoyageDetails / destination / address / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)"
"DGDeclaration / vesselVoyageDetails / destination / address / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number."
"DGDeclaration / vesselVoyageDetails / destination / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered."
"DGDeclaration / vesselVoyageDetails / destination / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address."
"DGDeclaration / vesselVoyageDetails / destination / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region."
"DGDeclaration / vesselVoyageDetails / destination / address / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street."
"DGDeclaration / vesselVoyageDetails / destination / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street."
"DGDeclaration / vesselVoyageDetails / destination / facility",facility,Facility,,,,,"Facility identified by a code as defined by a code list provider."
"DGDeclaration / vesselVoyageDetails / destination / facility / facilityCode",facilityCode,string,,maxLength=6,,ADT,"Code identifying a specific facility, as defined by the `facilityCodeListProvider`."
"DGDeclaration / vesselVoyageDetails / destination / facility / facilityCodeListProvider",facilityCodeListProvider,string,,maxLength=10,,SMDG,"Code list provider (each with its relevant code list) defining the `facilityCode`:
- `SMDG` (using [SMDG Terminal Code List](https://smdg.org/documents/smdg-code-lists/smdg-terminal-code-list/))
- `BIC` (using [BIC Facility Codes](https://www.bic-code.org/facility-codes/))"
"DGDeclaration / vesselVoyageDetails / destination / facility / facilityName",facilityName,string,,maxLength=100,,"Building 123","The name of the facility."
"DGDeclaration / vesselVoyageDetails / destination / facilityType",facilityType,string,,maxLength=100,,DEPOT,"A specific type of facility
- `BORDER` - Border
- `CUSTOMER_LOCATION` - Customer location
- `DEPOT` - Depot
- `CONTAINER_FREIGHT_STATION` - Container freight station
- `INLAND_TERMINAL` - Inland terminal
- `OFF_DOCK_STORAGE` - Off-dock storage
- `PORT_TERMINAL` - Port terminal
- `RAMP` - Ramp
- `WAYPOINT` - Waypoint"
"DGDeclaration / vesselVoyageDetails / destination / geoCoordinate",geoCoordinate,GeoCoordinate,,,,,"An object used to express a location using its geographic coordinates."
"DGDeclaration / vesselVoyageDetails / destination / geoCoordinate / latitude",latitude,string,,maxLength=20,,33.629152,"Latitude expressed as decimal degrees using the ISO 6709 data interchange numeric format."
"DGDeclaration / vesselVoyageDetails / destination / geoCoordinate / longitude",longitude,string,,maxLength=20,,-118.587187,"Longitude expressed as decimal degrees using the ISO 6709 data interchange numeric format."
"DGDeclaration / vesselVoyageDetails / destination / locationName",locationName,string,,maxLength=100,,"Port of Amsterdam","The name of the location."
"DGDeclaration / vesselVoyageDetails / destination / UNLocationCode",UNLocationCode,string,,maxLength=5,,NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)"
"DGDeclaration / vesselVoyageDetails / exportVoyageNumberOrReference","exportVoyageNumberOrReference",VoyageNumberOrReference,,,,,"Export voyage number or reference"
"DGDeclaration / vesselVoyageDetails / exportVoyageNumberOrReference / carrierVoyageNumber",carrierVoyageNumber,string,,,,2103S,"Carrier-specific identifier of the voyage"
"DGDeclaration / vesselVoyageDetails / exportVoyageNumberOrReference / universalVoyageReference",universalVoyageReference,string,,maxLength=5,,2301W,"Unique identifier of the voyage within a service, assigned by carriers as specified by DCSA.

Carriers assign a Universal Voyage Reference (UVR) to a voyage,
either individually for non-VSA services or jointly for shared services under a VSA or Alliance.

Every Universal Voyage Reference is a 5-character string with the following format:
 * the last 2 digits of the year
 * 2 alphanumeric characters for the sequence number of the voyage
 * 1 character for the initial of the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip)."
"DGDeclaration / vesselVoyageDetails / importVoyageNumberOrReference","importVoyageNumberOrReference",VoyageNumberOrReference,,,,,"Import voyage number or reference"
"DGDeclaration / vesselVoyageDetails / importVoyageNumberOrReference / carrierVoyageNumber",carrierVoyageNumber,string,,,,2103S,"Carrier-specific identifier of the voyage"
"DGDeclaration / vesselVoyageDetails / importVoyageNumberOrReference / universalVoyageReference",universalVoyageReference,string,,maxLength=5,,2301W,"Unique identifier of the voyage within a service, assigned by carriers as specified by DCSA.

Carriers assign a Universal Voyage Reference (UVR) to a voyage,
either individually for non-VSA services or jointly for shared services under a VSA or Alliance.

Every Universal Voyage Reference is a 5-character string with the following format:
 * the last 2 digits of the year
 * 2 alphanumeric characters for the sequence number of the voyage
 * 1 character for the initial of the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip)."
"DGDeclaration / vesselVoyageDetails / portOfDischarge",portOfDischarge,Location,,,,,"The location where the cargo is discharged from the last sea-going vessel."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / address",address,Address,,,,,"Location address"
"DGDeclaration / vesselVoyageDetails / portOfDischarge / address / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.
Item description:
One line of an unstructured `Address`."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / address / city",city,string,,maxLength=35,,Amsterdam,"The name of the city."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / address / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)"
"DGDeclaration / vesselVoyageDetails / portOfDischarge / address / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / address / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / facility",facility,Facility,,,,,"Facility identified by a code as defined by a code list provider."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / facility / facilityCode",facilityCode,string,,maxLength=6,,ADT,"Code identifying a specific facility, as defined by the `facilityCodeListProvider`."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / facility / facilityCodeListProvider",facilityCodeListProvider,string,,maxLength=10,,SMDG,"Code list provider (each with its relevant code list) defining the `facilityCode`:
- `SMDG` (using [SMDG Terminal Code List](https://smdg.org/documents/smdg-code-lists/smdg-terminal-code-list/))
- `BIC` (using [BIC Facility Codes](https://www.bic-code.org/facility-codes/))"
"DGDeclaration / vesselVoyageDetails / portOfDischarge / facility / facilityName",facilityName,string,,maxLength=100,,"Building 123","The name of the facility."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / facilityType",facilityType,string,,maxLength=100,,DEPOT,"A specific type of facility
- `BORDER` - Border
- `CUSTOMER_LOCATION` - Customer location
- `DEPOT` - Depot
- `CONTAINER_FREIGHT_STATION` - Container freight station
- `INLAND_TERMINAL` - Inland terminal
- `OFF_DOCK_STORAGE` - Off-dock storage
- `PORT_TERMINAL` - Port terminal
- `RAMP` - Ramp
- `WAYPOINT` - Waypoint"
"DGDeclaration / vesselVoyageDetails / portOfDischarge / geoCoordinate",geoCoordinate,GeoCoordinate,,,,,"An object used to express a location using its geographic coordinates."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / geoCoordinate / latitude",latitude,string,,maxLength=20,,33.629152,"Latitude expressed as decimal degrees using the ISO 6709 data interchange numeric format."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / geoCoordinate / longitude",longitude,string,,maxLength=20,,-118.587187,"Longitude expressed as decimal degrees using the ISO 6709 data interchange numeric format."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / locationName",locationName,string,,maxLength=100,,"Port of Amsterdam","The name of the location."
"DGDeclaration / vesselVoyageDetails / portOfDischarge / UNLocationCode",UNLocationCode,string,,maxLength=5,,NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)"
"DGDeclaration / vesselVoyageDetails / portOfLoading",portOfLoading,Location,,,,,"The location where the cargo is loaded onto a first sea-going vessel for water transportation."
"DGDeclaration / vesselVoyageDetails / portOfLoading / address",address,Address,,,,,"Location address"
"DGDeclaration / vesselVoyageDetails / portOfLoading / address / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.
Item description:
One line of an unstructured `Address`."
"DGDeclaration / vesselVoyageDetails / portOfLoading / address / city",city,string,,maxLength=35,,Amsterdam,"The name of the city."
"DGDeclaration / vesselVoyageDetails / portOfLoading / address / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)"
"DGDeclaration / vesselVoyageDetails / portOfLoading / address / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number."
"DGDeclaration / vesselVoyageDetails / portOfLoading / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered."
"DGDeclaration / vesselVoyageDetails / portOfLoading / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address."
"DGDeclaration / vesselVoyageDetails / portOfLoading / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region."
"DGDeclaration / vesselVoyageDetails / portOfLoading / address / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street."
"DGDeclaration / vesselVoyageDetails / portOfLoading / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street."
"DGDeclaration / vesselVoyageDetails / portOfLoading / facility",facility,Facility,,,,,"Facility identified by a code as defined by a code list provider."
"DGDeclaration / vesselVoyageDetails / portOfLoading / facility / facilityCode",facilityCode,string,,maxLength=6,,ADT,"Code identifying a specific facility, as defined by the `facilityCodeListProvider`."
"DGDeclaration / vesselVoyageDetails / portOfLoading / facility / facilityCodeListProvider",facilityCodeListProvider,string,,maxLength=10,,SMDG,"Code list provider (each with its relevant code list) defining the `facilityCode`:
- `SMDG` (using [SMDG Terminal Code List](https://smdg.org/documents/smdg-code-lists/smdg-terminal-code-list/))
- `BIC` (using [BIC Facility Codes](https://www.bic-code.org/facility-codes/))"
"DGDeclaration / vesselVoyageDetails / portOfLoading / facility / facilityName",facilityName,string,,maxLength=100,,"Building 123","The name of the facility."
"DGDeclaration / vesselVoyageDetails / portOfLoading / facilityType",facilityType,string,,maxLength=100,,DEPOT,"A specific type of facility
- `BORDER` - Border
- `CUSTOMER_LOCATION` - Customer location
- `DEPOT` - Depot
- `CONTAINER_FREIGHT_STATION` - Container freight station
- `INLAND_TERMINAL` - Inland terminal
- `OFF_DOCK_STORAGE` - Off-dock storage
- `PORT_TERMINAL` - Port terminal
- `RAMP` - Ramp
- `WAYPOINT` - Waypoint"
"DGDeclaration / vesselVoyageDetails / portOfLoading / geoCoordinate",geoCoordinate,GeoCoordinate,,,,,"An object used to express a location using its geographic coordinates."
"DGDeclaration / vesselVoyageDetails / portOfLoading / geoCoordinate / latitude",latitude,string,,maxLength=20,,33.629152,"Latitude expressed as decimal degrees using the ISO 6709 data interchange numeric format."
